Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y
,,1580.7899461400357,-0.03141361256544503,1577.1992818671454,-0.21465968586387435,1297.1274685816875,-0.5445026178010471,817.7737881508078,-0.806282722513089
,,1600.5385996409334,-0.028795811518324624,1609.5152603231597,-0.21204188481675396,1322.2621184919208,-0.5523560209424083,837.5224416517055,-0.8167539267015707
,,1620.2872531418311,-0.026178010471204202,1625.673249551167,-0.2094240837696335,1349.1921005385996,-0.5602094240837696,860.8617594254938,-0.8246073298429318
,,1640.0359066427288,-0.020942408376963373,1657.9892280071813,-0.2094240837696335,1368.9407540394973,-0.5654450261780105,885.9964093357271,-0.837696335078534
,,1657.9892280071813,-0.01832460732984295,1690.3052064631956,-0.20418848167539272,1392.2800718132855,-0.5732984293193718,909.3357271095151,-0.8481675392670156
,,1674.1472172351882,-0.013089005235602108,,,1415.6193895870736,-0.5798429319371727,934.4703770197486,-0.8612565445026178
,,1690.3052064631956,-0.0104712041884817,,,1437.1633752244165,-0.5890052356020943,959.6050269299819,-0.8743455497382199
,,,,,,1458.7073608617593,-0.5942408376963351,979.3536804308796,-0.887434554973822
,,,,,,1480.2513464991023,-0.6020942408376964,999.1023339317774,-0.8979057591623036
,,,,,,1503.5906642728903,-0.6073298429319371,1015.2603231597845,-0.9096858638743454
,,,,,,1528.7253141831238,-0.6151832460732984,1031.4183123877917,-0.9214659685863874
,,,,,,1550.2692998204666,-0.6230366492146597,1049.3716337522442,-0.9319371727748691
,,,,,,1584.3806104129262,-0.6308900523560209,1074.5062836624777,-0.950261780104712
,,,,,,1618.4919210053858,-0.6387434554973822,1096.0502692998205,-0.9633507853403143
,,,,,,1647.2172351885097,-0.6439790575916231,1115.798922800718,-0.9777486910994766
,,,,,,1666.9658886894074,-0.6518324607329843,1135.5475763016157,-0.9921465968586387
,,,,,,1686.714542190305,-0.6518324607329843,1164.2728904847397,-1.013089005235602
,,,,,,,,1184.0215439856372,-1.0287958115183247
,,,,,,,,1207.3608617594255,-1.049738219895288
,,,,,,,,1228.9048473967682,-1.0706806282722514
,,,,,,,,1248.653500897666,-1.0863874345549738
,,,,,,,,1266.6068222621186,-1.1020942408376964
,,,,,,,,1282.7648114901256,-1.1204188481675392
,,,,,,,,1300.7181328545782,-1.1387434554973823
,,,,,,,,1318.6714542190305,-1.1544502617801047
,,,,,,,,1336.624775583483,-1.175392670157068
,,,,,,,,1356.3734290843804,-1.193717277486911
,,,,,,,,1374.3267504488329,-1.2094240837696335
,,,,,,,,1388.6894075403948,-1.225130890052356
,,,,,,,,1404.8473967684022,-1.2408376963350785
,,,,,,,,1424.5960502692997,-1.261780104712042
,,,,,,,,1444.3447037701974,-1.2827225130890052
,,,,,,,,1464.093357271095,-1.3036649214659686
,,,,,,,,1478.456014362657,-1.3141361256544501
,,,,,,,,1492.818671454219,-1.3298429319371727
,,,,,,,,1512.5673249551166,-1.3481675392670158
,,,,,,,,1526.9299820466786,-1.3612565445026177
,,,,,,,,1544.883303411131,-1.3769633507853405
,,,,,,,,1564.6319569120287,-1.395287958115183
,,,,,,,,1587.9712746858168,-1.4136125654450264
,,,,,,,,1613.1059245960503,-1.4332460732984296
,,,,,,,,1636.4452423698383,-1.450261780104712
,,,,,,,,1657.9892280071813,-1.464659685863874
,,,,,,,,1674.1472172351882,-1.4751308900523556
,,,,,,,,1690.3052064631956,-1.4869109947643977
