Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
463.4255129348796,1.820040899795499,352.8099910793934,2.0245398773006116,1378.6797502230152,6.278118609406951,386.70829616413914,2.2494887525562355,456.2890276538805,2.6993865030674833,1428.6351471900089,5.807770961145192,386.70829616413914,1.9631901840490773
475.914362176628,1.7177914110429437,308.20695807314894,1.820040899795499,1351.9179304192685,6.134969325153373,409.9018733273863,2.3312883435582794,475.914362176628,2.760736196319016,1401.8733273862624,5.746421267893659,404.5495093666369,2.085889570552146
491.971454058876,1.7177914110429437,274.3086529884032,1.7177914110429437,1316.235504014273,5.950920245398771,434.87957181088314,2.4335378323108365,502.6761819803746,2.82208588957055,1373.3273862622657,5.6237218813905905,425.95896520963424,2.126789366053167
509.8126672613738,1.8404907975460105,249.33095450490634,1.5950920245398752,1273.4165923282783,5.746421267893659,465.2096342551294,2.5766871165644147,533.0062444246208,2.9447852760736186,1346.565566458519,5.562372188139058,450.93666369313115,2.2085889570552126
518.7332738626226,1.9836400817995887,750.6690454950937,4.008179959100203,1237.7341659232827,5.60327198364008,500.8920606601249,2.6993865030674833,556.199821587868,3.0265848670756625,1321.5878679750224,5.480572597137012,468.7778768956289,2.269938650306747
525.8697591436218,2.126789366053167,789.9197145405886,4.253578732106338,1194.915254237288,5.3987730061349675,525.8697591436218,2.781186094069527,584.7457627118645,3.1083844580777082,1300.178412132025,5.3987730061349675,495.53969669937555,2.3108384458077698
536.5744870651204,2.2903885480572583,829.1703835860839,4.519427402862983,1148.5280999107938,5.153374233128832,556.199821587868,2.903885480572594,618.6440677966101,3.231083844580775,1278.7689562890278,5.3578732106339455,516.9491525423729,2.413087934560325
549.0633363068689,2.5153374233128822,855.9322033898304,4.703476482617584,1086.0838537020516,4.928425357873209,581.1775200713648,2.9856850715746397,670.3835860838537,3.4355828220858875,1248.4388938447814,5.255623721881388,536.5744870651204,2.4744376278118576
563.336306868867,2.740286298568506,884.4781445138269,4.907975460122698,1030.7760927743086,4.683026584867074,606.1552185548617,3.0674846625766854,645.4058876003568,3.3333333333333304,1225.2453166815344,5.194274028629854,550.8474576271186,2.535787321063392
579.393398751115,2.9652351738241283,923.728813559322,5.173824130879344,986.1730597680641,4.519427402862983,634.7011596788582,3.1697341513292425,690.0089206066012,3.4969325153374218,1200.2676181980373,5.11247443762781,570.4727921498661,2.597137014314926
597.2346119536128,3.1697341513292425,962.9794826048171,5.460122699386502,932.6494201605709,4.29447852760736,670.3835860838537,3.3128834355828207,714.9866190900982,3.599182004089977,1171.721677074041,5.010224948875254,597.2346119536128,2.740286298568506
609.7234611953612,3.3128834355828207,1004.0142729705619,5.746421267893659,875.5575379125781,4.089979550102247,702.4977698483497,3.415132924335376,736.3960749330954,3.6605316973415114,1139.607493309545,4.928425357873209,611.507582515611,2.781186094069527
620.4281891168599,3.415132924335376,1039.6966993755575,5.971370143149283,468.7778768956289,2.638036809815949,745.3166815343443,3.5582822085889543,759.5896520963425,3.742331288343557,1103.9250669045493,4.8057259713701415,634.7011596788582,2.8834355828220843
632.9170383586084,3.599182004089977,1086.0838537020516,6.298568507157463,420.60660124888494,2.4744376278118576,727.4754683318465,3.4969325153374218,779.21498661909,3.78323108384458,1071.8108831400536,4.662576687116563,659.678858162355,2.9856850715746397
647.1900089206066,3.742331288343557,1136.0392506690455,6.625766871165642,377.78768956289025,2.269938650306747,763.1578947368421,3.6196319018404886,797.0561998215878,3.8445807770961125,1039.6966993755575,4.5807770961145176,675.735950044603,3.0674846625766854
661.4629794826049,3.926380368098158,1169.9375557537912,6.871165644171778,347.4576271186441,2.126789366053167,779.21498661909,3.680981595092023,820.249776984835,3.9059304703476467,1004.0142729705619,4.458077709611451,695.3612845673506,3.128834355828218
672.1677074041035,4.069529652351736,1203.835860838537,7.096114519427402,251.11507582515614,1.5950920245398752,793.4879571810883,3.742331288343557,847.0115967885816,4.008179959100203,950.4906333630686,4.314928425357871,711.4183764495986,3.2106339468302636
686.4406779661017,4.192229038854804,1253.7912578055307,7.423312883435581,277.8768956289028,1.7382413087934552,814.8974130240856,3.824130879345601,877.3416592328279,4.089979550102247,893.3987511150758,4.110429447852759,736.3960749330954,3.2924335378323093
