Au,,Pd014,,Pd034,,Pd042,,Pd052,,Pd073,,Pd,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
387.43156955364424,1.693420940853207,442.3814872370871,1.4990424973522543,611.1473543304664,1.9315444859911146,415.34165217792685,1.686244850643701,464.75928176880586,1.936789379510056,415.34165217792685,1.7230397959458132,424.72400873940273,1.4659593228481622
415.7301555552137,1.6529465010208835,452.41597446758004,1.4893749866609305,622.0493567946371,1.938161120891933,425.598141338298,1.7088382381099105,475.015770929177,1.9566392842125109,425.9866447155848,1.7396351769775409,433.9898142876925,1.4791464836957862
425.3761394084198,1.6454230566911492,462.1840593822192,1.4688334476482856,631.6603326512086,1.9414896110097226,435.8546304986691,1.7293336681685427,485.2722600895481,1.9755209008807002,436.0877325250412,1.7587185203195355,447.6890410683281,1.5356015776203784
435.144224323059,1.6189642019135446,471.4933403084435,1.4498839483533557,641.9168218115797,1.95139439069357,446.11111965904024,1.748538047514821,495.52874924991926,1.9944025175488895,446.11111965904024,1.7817826033579571,457.30001692489964,1.54487479764085
444.3310678212898,1.601519647645417,479.4706096553988,1.42345327126987,653.0474435708461,1.9463713965158145,456.3676088194113,1.7666934481573104,505.78523841029033,2.013042062208512,456.3676088194113,1.8009869827042349,467.5565060852707,1.5706151212184238
462.4282615050852,1.5083864768829223,488.13164494637886,1.4019339662713004,662.4298001323218,1.945907425166062,466.62409797978245,1.782428128714134,516.0417275706615,2.0313588441900463,466.62409797978245,1.8187389299991135,477.81299524564184,1.5943381780579435
462.89446555782934,1.4369106818201796,493.33093014412543,1.3704792063264226,672.6862892926931,1.9517171533716589,476.8805871401536,1.7967103772195592,526.2982167310327,2.049433554163013,476.8805871401536,1.836006733276859,488.2026855639399,1.6160900771134217
466.49089682185553,1.3998967189865068,502.0556059883372,1.3422282502028584,682.9427784530642,1.9551868521611127,487.1370763005247,1.8109119350554623,536.5547058914037,2.0672661921274136,487.1370763005247,1.8527903925374716,498.27935316110967,1.636378016878997
470.15392866484524,1.365914419879168,511.37968704322003,1.3044166024647672,693.1992676134355,1.9588986229591323,497.3935654608958,1.8247907302132766,546.8111950517748,2.0850181394222926,497.3935654608958,1.8692512891199953,508.3861662834945,1.6550642771893957
474.54956687643283,1.3150677708416945,520.703768098103,1.2664274352537266,704.3298893727017,1.9698927266815285,507.6500546212669,1.838750216040613,557.0676842121459,2.102447324039082,507.58789408090104,1.8804081190259279,518.7292568158924,1.6737615294176234
