Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
375.000000,1.393771,1.677523,1.303475,2.790246,1.641532,2.692245,
376.000000,1.384674,1.687442,1.305324,2.797758,1.643008,2.697313,
377.000000,1.376291,1.697848,1.307211,2.805289,1.644463,2.702477,
378.000000,1.368673,1.708669,1.309139,2.812835,1.645912,2.707736,
379.000000,1.361873,1.719827,1.311111,2.820394,1.647373,2.713088,
380.000000,1.355949,1.731224,1.313128,2.827960,1.648864,2.718525,
381.000000,1.350931,1.742715,1.315193,2.835527,1.650396,2.724029,
382.000000,1.346790,1.754166,1.317303,2.843091,1.651974,2.729585,
383.000000,1.343480,1.765471,1.319456,2.850646,1.653596,2.735181,
384.000000,1.340947,1.776541,1.321650,2.858191,1.655262,2.740808,
385.000000,1.339129,1.787300,1.323883,2.865721,1.656971,2.746457,
386.000000,1.337964,1.797684,1.326152,2.873236,1.658720,2.752124,
387.000000,1.337381,1.807640,1.328455,2.880732,1.660508,2.757800,
388.000000,1.337313,1.817125,1.330790,2.888208,1.662330,2.763482,
389.000000,1.337687,1.826105,1.333154,2.895662,1.664186,2.769166,
390.000000,1.338431,1.834554,1.335544,2.903095,1.666070,2.774847,
391.000000,1.339468,1.842457,1.337958,2.910504,1.667980,2.780522,
392.000000,1.340719,1.849811,1.340393,2.917890,1.669913,2.786191,
393.000000,1.342112,1.856642,1.342848,2.925254,1.671864,2.791851,
394.000000,1.343603,1.862977,1.345319,2.932596,1.673833,2.797503,
395.000000,1.345154,1.868835,1.347807,2.939917,1.675816,2.803145,
396.000000,1.346730,1.874233,1.350310,2.947216,1.677812,2.808778,
397.000000,1.348300,1.879188,1.352827,2.954494,1.679821,2.814399,
398.000000,1.349832,1.883714,1.355358,2.961752,1.681839,2.820010,
399.000000,1.351297,1.887827,1.357900,2.968989,1.683865,2.825609,
400.000000,1.352666,1.891542,1.360453,2.976206,1.685897,2.831197,
401.000000,1.353908,1.894878,1.363017,2.983402,1.687935,2.836771,
402.000000,1.354994,1.897851,1.365589,2.990579,1.689975,2.842334,
403.000000,1.355893,1.900483,1.368170,2.997737,1.692017,2.847885,
404.000000,1.356572,1.902797,1.370758,3.004876,1.694058,2.853424,
405.000000,1.356994,1.904828,1.373352,3.011996,1.696097,2.858952,
406.000000,1.357132,1.906633,1.375952,3.019099,1.698132,2.864470,
407.000000,1.356985,1.908265,1.378556,3.026185,1.700162,2.869980,
408.000000,1.356562,1.909767,1.381166,3.033256,1.702188,2.875484,
409.000000,1.355874,1.911174,1.383780,3.040311,1.704208,2.880982,
410.000000,1.354936,1.912518,1.386399,3.047352,1.706223,2.886475,
411.000000,1.353761,1.913824,1.389022,3.054378,1.708234,2.891963,
412.000000,1.352369,1.915118,1.391650,3.061391,1.710239,2.897449,
413.000000,1.350777,1.916417,1.394282,3.068390,1.712239,2.902930,
414.000000,1.349006,1.917740,1.396917,3.075375,1.714234,2.908409,
415.000000,1.347077,1.919101,1.399557,3.082348,1.716224,2.913886,
416.000000,1.345012,1.920509,1.402201,3.089308,1.718209,2.919362,
417.000000,1.342836,1.921973,1.404848,3.096255,1.720189,2.924836,
418.000000,1.340575,1.923496,1.407499,3.103191,1.722165,2.930309,
419.000000,1.338259,1.925073,1.410154,3.110115,1.724135,2.935781,
420.000000,1.335907,1.926684,1.412812,3.117027,1.726100,2.941254,
421.000000,1.333529,1.928314,1.415474,3.123928,1.728061,2.946728,
422.000000,1.331129,1.929951,1.418139,3.130819,1.730018,2.952203,
423.000000,1.328712,1.931585,1.420808,3.137699,1.731972,2.957680,
424.000000,1.326280,1.933208,1.423481,3.144568,1.733922,2.963158,
425.000000,1.323836,1.934812,1.426158,3.151427,1.735869,2.968638,
426.000000,1.321381,1.936390,1.428839,3.158276,1.737814,2.974121,
427.000000,1.318917,1.937936,1.431525,3.165115,1.739758,2.979606,
428.000000,1.316447,1.939444,1.434214,3.171943,1.741699,2.985093,
429.000000,1.313971,1.940906,1.436908,3.178762,1.743640,2.990583,
430.000000,1.311492,1.942317,1.439606,3.185571,1.745580,2.996075,
431.000000,1.309011,1.943670,1.442309,3.192370,1.747520,3.001570,
432.000000,1.306530,1.944958,1.445017,3.199159,1.749460,3.007067,
433.000000,1.304054,1.946171,1.447729,3.205938,1.751402,3.012566,
434.000000,1.301587,1.947297,1.450446,3.212707,1.753344,3.018067,
435.000000,1.299125,1.948316,1.453168,3.219465,1.755289,3.023569,
436.000000,1.296660,1.949214,1.455895,3.226212,1.757235,3.029072,
437.000000,1.294181,1.949978,1.458627,3.232949,1.759183,3.034575,
438.000000,1.291677,1.950598,1.461363,3.239675,1.761133,3.040079,
439.000000,1.289134,1.951066,1.464104,3.246390,1.763085,3.045583,
440.000000,1.286541,1.951375,1.466848,3.253094,1.765040,3.051087,
441.000000,1.283883,1.951521,1.469597,3.259787,1.766996,3.056590,
442.000000,1.281147,1.951498,1.472350,3.266469,1.768954,3.062092,
443.000000,1.278319,1.951305,1.475106,3.273140,1.770915,3.067594,
