Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n7_and_18_MS,k7_and_18_MS,n6,k6,n8_drude,k7_drude,n19_B_spline,k19_B_SPline,n19_Drude,k19_Drude
307.000000,1.462454,2.085992,1.489281,2.000320,1.527480,1.825430,1.372961,2.269671,1.452646,2.284224,
308.000000,1.464431,2.092303,1.491305,2.006733,1.530765,1.829199,1.376985,2.276767,1.456601,2.290892,
309.000000,1.466519,2.098545,1.493430,2.013088,1.534045,1.832958,1.380988,2.283803,1.460556,2.297533,
310.000000,1.468699,2.104706,1.495644,2.019377,1.537318,1.836705,1.384967,2.290782,1.464509,2.304147,
311.000000,1.470951,2.110779,1.497935,2.025594,1.540584,1.840443,1.388916,2.297709,1.468462,2.310735,
312.000000,1.473253,2.116762,1.500291,2.031736,1.543844,1.844169,1.392830,2.304586,1.472415,2.317296,
313.000000,1.475583,2.122663,1.502698,2.037804,1.547097,1.847886,1.396705,2.311424,1.476366,2.323831,
314.000000,1.477933,2.128494,1.505150,2.043801,1.550345,1.851592,1.400541,2.318231,1.480316,2.330340,
315.000000,1.480298,2.134263,1.507640,2.049728,1.553585,1.855288,1.404343,2.325014,1.484265,2.336823,
316.000000,1.482675,2.139976,1.510162,2.055587,1.556820,1.858974,1.408112,2.331779,1.488213,2.343282,
317.000000,1.485062,2.145637,1.512709,2.061379,1.560048,1.862649,1.411853,2.338530,1.492159,2.349715,
318.000000,1.487456,2.151251,1.515277,2.067106,1.563270,1.866315,1.415570,2.345269,1.496104,2.356124,
319.000000,1.489856,2.156821,1.517859,2.072771,1.566485,1.869971,1.419267,2.351999,1.500046,2.362508,
320.000000,1.492260,2.162351,1.520449,2.078376,1.569694,1.873618,1.422949,2.358721,1.503988,2.368867,
321.000000,1.494667,2.167846,1.523041,2.083929,1.572897,1.877254,1.426621,2.365434,1.507927,2.375203,
322.000000,1.497078,2.173310,1.525634,2.089439,1.576094,1.880881,1.430285,2.372135,1.511864,2.381515,
323.000000,1.499495,2.178746,1.528231,2.094912,1.579285,1.884499,1.433942,2.378823,1.515800,2.387803,
324.000000,1.501923,2.184159,1.530835,2.100352,1.582469,1.888107,1.437592,2.385497,1.519733,2.394068,
325.000000,1.504364,2.189547,1.533450,2.105762,1.585647,1.891706,1.441236,2.392157,1.523664,2.400310,
326.000000,1.506823,2.194912,1.536081,2.111145,1.588819,1.895295,1.444875,2.398800,1.527593,2.406529,
327.000000,1.509306,2.200253,1.538734,2.116499,1.591985,1.898875,1.448509,2.405427,1.531519,2.412726,
328.000000,1.511817,2.205568,1.541415,2.121824,1.595145,1.902447,1.452139,2.412037,1.535443,2.418900,
329.000000,1.514363,2.210850,1.544132,2.127115,1.598298,1.906008,1.455766,2.418628,1.539364,2.425052,
330.000000,1.516948,2.216089,1.546890,2.132359,1.601446,1.909562,1.459390,2.425198,1.543283,2.431181,
331.000000,1.519568,2.221275,1.549686,2.137545,1.604588,1.913106,1.463008,2.431743,1.547198,2.437290,
332.000000,1.522219,2.226399,1.552513,2.142665,1.607723,1.916641,1.466620,2.438263,1.551111,2.443376,
333.000000,1.524892,2.231456,1.555365,2.147713,1.610853,1.920168,1.470221,2.444757,1.555022,2.449441,
334.000000,1.527582,2.236443,1.558235,2.152687,1.613976,1.923685,1.473811,2.451223,1.558929,2.455485,
335.000000,1.530280,2.241357,1.561115,2.157582,1.617094,1.927195,1.477386,2.457662,1.562833,2.461508,
336.000000,1.532978,2.246198,1.563995,2.162398,1.620205,1.930695,1.480943,2.464075,1.566735,2.467510,
337.000000,1.535668,2.250967,1.566866,2.167136,1.623311,1.934188,1.484481,2.470461,1.570633,2.473492,
338.000000,1.538337,2.255669,1.569716,2.171801,1.626411,1.937671,1.487995,2.476821,1.574528,2.479453,
339.000000,1.540980,2.260319,1.572538,2.176410,1.629505,1.941147,1.491485,2.483156,1.578419,2.485394,
340.000000,1.543601,2.264933,1.575336,2.180977,1.632593,1.944614,1.494945,2.489468,1.582308,2.491316,
341.000000,1.546210,2.269517,1.578120,2.185509,1.635675,1.948073,1.498375,2.495757,1.586193,2.497217,
342.000000,1.548817,2.274076,1.580898,2.190014,1.638751,1.951523,1.501770,2.502026,1.590075,2.503098,
343.000000,1.551435,2.278613,1.583685,2.194493,1.641822,1.954966,1.505129,2.508276,1.593953,2.508961,
344.000000,1.554077,2.283127,1.586493,2.198945,1.644887,1.958400,1.508446,2.514510,1.597827,2.514804,
345.000000,1.556758,2.287612,1.589339,2.203367,1.647946,1.961827,1.511721,2.520730,1.601699,2.520627,
346.000000,1.559496,2.292060,1.592240,2.207749,1.650999,1.965245,1.514948,2.526939,1.605566,2.526432,
347.000000,1.562312,2.296457,1.595219,2.212077,1.654047,1.968656,1.518126,2.533140,1.609430,2.532218,
348.000000,1.565233,2.300769,1.598303,2.216315,1.657089,1.972059,1.521249,2.539337,1.613290,2.537986,
349.000000,1.568254,2.304944,1.601490,2.220404,1.660125,1.975454,1.524316,2.545533,1.617146,2.543735,
350.000000,1.571355,2.308941,1.604754,2.224304,1.663155,1.978842,1.527320,2.551733,1.620999,2.549465,
351.000000,1.574507,2.312735,1.608062,2.227982,1.666180,1.982222,1.530258,2.557943,1.624847,2.555178,
352.000000,1.577679,2.316302,1.611379,2.231418,1.669200,1.985594,1.533124,2.564167,1.628692,2.560873,
353.000000,1.580839,2.319628,1.614665,2.234594,1.672213,1.988959,1.535913,2.570414,1.632533,2.566550,
354.000000,1.583953,2.322702,1.617880,2.237501,1.675221,1.992316,1.538618,2.576692,1.636369,2.572209,
355.000000,1.586986,2.325518,1.620981,2.240136,1.678224,1.995666,1.541232,2.583012,1.640202,2.577850,
356.000000,1.589900,2.328075,1.623921,2.242500,1.681221,1.999009,1.543745,2.589386,1.644031,2.583475,
357.000000,1.592655,2.330377,1.626652,2.244605,1.684213,2.002344,1.546147,2.595834,1.647856,2.589082,
358.000000,1.595211,2.332437,1.629117,2.246476,1.687199,2.005672,1.548420,2.602388,1.651676,2.594672,
359.000000,1.597534,2.334280,1.631280,2.248164,1.690179,2.008993,1.550574,2.609103,1.655492,2.600245,
360.000000,1.599599,2.335929,1.633126,2.249714,1.693154,2.012307,1.552642,2.616019,1.659304,2.605802,
361.000000,1.601385,2.337406,1.634644,2.251161,1.696124,2.015614,1.554660,2.623161,1.663113,2.611342,
362.000000,1.602870,2.338732,1.635827,2.252538,1.699088,2.018914,1.556672,2.630549,1.666916,2.616865,
363.000000,1.604031,2.339930,1.636666,2.253876,1.702047,2.022206,1.558719,2.638193,1.670715,2.622372,
364.000000,1.604845,2.341023,1.637155,2.255204,1.705000,2.025492,1.560847,2.646096,1.674510,2.627863,
365.000000,1.605287,2.342038,1.637286,2.256553,1.707949,2.028771,1.563102,2.654256,1.678301,2.633338,
366.000000,1.605331,2.343006,1.637051,2.257953,1.710891,2.032043,1.565533,2.662663,1.682088,2.638797,
367.000000,1.604944,2.343963,1.636438,2.259439,1.713829,2.035308,1.568193,2.671296,1.685869,2.644240,
