Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n_21,k_21,n22,k22,n23,k23,n124,k124,n_Pd_model,k_Pd_model
372.000000,2.624697,1.690804,2.627129,1.657916,2.668454,1.579147,2.682262,1.246034,2.767427,
373.000000,2.629897,1.694273,2.632176,1.660992,2.673597,1.581915,2.687697,1.247505,2.774077,
374.000000,2.635079,1.697732,2.637199,1.664059,2.678726,1.584675,2.693125,1.248976,2.780712,
375.000000,2.640240,1.701182,2.642199,1.667118,2.683843,1.587425,2.698549,1.250447,2.787332,
376.000000,2.645381,1.704622,2.647175,1.670169,2.688948,1.590166,2.703970,1.251917,2.793937,
377.000000,2.650501,1.708050,2.652127,1.673213,2.694043,1.592895,2.709391,1.253387,2.800527,
378.000000,2.655599,1.711465,2.657055,1.676250,2.699127,1.595613,2.714813,1.254857,2.807102,
379.000000,2.660674,1.714865,2.661962,1.679279,2.704201,1.598320,2.720238,1.256327,2.813663,
380.000000,2.665727,1.718249,2.666847,1.682301,2.709265,1.601013,2.725667,1.257797,2.820209,
381.000000,2.670757,1.721616,2.671714,1.685316,2.714320,1.603694,2.731099,1.259266,2.826740,
382.000000,2.675765,1.724966,2.676564,1.688323,2.719365,1.606362,2.736532,1.261277,2.833198,
383.000000,2.680750,1.728300,2.681399,1.691319,2.724401,1.609017,2.741964,1.263827,2.839584,
384.000000,2.685713,1.731619,2.686220,1.694306,2.729425,1.611658,2.747393,1.266372,2.845956,
385.000000,2.690653,1.734923,2.691029,1.697281,2.734439,1.614286,2.752816,1.268912,2.852313,
386.000000,2.695573,1.738214,2.695826,1.700244,2.739442,1.616900,2.758232,1.271447,2.858656,
387.000000,2.700470,1.741493,2.700611,1.703194,2.744433,1.619500,2.763638,1.273977,2.864985,
388.000000,2.705347,1.744761,2.705386,1.706131,2.749413,1.622087,2.769034,1.276502,2.871301,
389.000000,2.710202,1.748019,2.710150,1.709053,2.754380,1.624659,2.774415,1.279022,2.877602,
390.000000,2.715036,1.751268,2.714903,1.711959,2.759336,1.627217,2.779783,1.281537,2.883890,
