"Wavelength, µm","n","k"
6.969,5.554,43.61
7.045,5.658,44.04
7.122,5.764,44.48
7.201,5.874,44.93
7.282,5.987,45.39
7.365,6.102,45.86
7.45,6.221,46.34
7.536,6.344,46.82
7.625,6.469,47.32
7.716,6.598,47.83
7.809,6.731,48.35
7.904,6.868,48.88
8.001,7.008,49.42
8.101,7.153,49.97
8.204,7.302,50.53
8.309,7.455,51.11
8.417,7.613,51.7
8.528,7.775,52.3
8.642,7.942,52.92
8.758,8.115,53.55
8.878,8.292,54.2
9.002,8.475,54.86
9.128,8.664,55.53
9.259,8.858,56.23
9.393,9.058,56.94
9.531,9.265,57.66
9.673,9.478,58.41
9.82,9.698,59.17
9.971,9.925,59.96
10.13,10.16,60.76
10.29,10.4,61.59
10.45,10.65,62.44
10.63,10.91,63.31
10.8,11.17,64.2
10.99,11.45,65.13
11.17,11.73,66.07
11.37,12.02,67.05
11.57,12.33,68.05
11.78,12.64,69.08
12,12.96,70.15
12.23,13.3,71.25
12.46,13.64,72.38
12.71,14,73.55
12.96,14.37,74.76
13.23,14.75,76.01
13.5,15.14,77.3
13.79,15.55,78.63
14.09,15.97,80.02
14.4,16.4,81.46
14.73,16.85,82.95
15.07,17.32,84.49
15.43,17.8,86.1
15.81,18.29,87.78
16.2,18.81,89.52
16.62,19.34,91.34
17.06,19.88,93.24
17.52,20.45,95.23
18,21.03,97.32
18.52,21.63,99.5
19.06,22.25,101.8
19.64,22.88,104.2
20.25,23.54,106.8
20.91,24.21,109.5
21.6,24.91,112.3
22.35,25.62,115.4
23.15,26.35,118.6
24,27.1,122.1
24.93,27.87,125.8
